"Report_ID","Date","Status","Location","Incident_Category","Incident_Type","Description","Report","Report_Time","Length"
1700011,"1/3/17","Inactive Investigation","Chateau Row Apts.","BURGLARY MOTOR VEHICLE","BURGLARY-MOTOR VEHICLE                   Burglary-Motor Vehicle","A suspect removed an in-dash stereo."," 1/3/17  - 10:06 am                   Location: CHATEAU ROW APTS.                                               Report #: 1700011
Occurred: 1/2/17   - 9:00 pm    to 1/3/17    - 9:00 am                                    Disposition: Inactive Investigation
Incident: BURGLARY-MOTOR VEHICLE                   Burglary-Motor Vehicle
Summary: A suspect removed an in-dash stereo.","1/3/17  - 10:06 am","1/2/17   - 9:00 pm    to 1/3/17    - 9:00 am"
1700012,"1/3/17","Inactive Investigation","2801 Ellendale Pl","THEFT MOTOR VEHICLE","THEFT-MOTOR VEHICLE                      Attempt Theft From Motor Vehicle","A suspect entered an unsecured vehicle and ransacked the interior, but did not remove any property."," 1/3/17  - 10:41 am                   Location: 2801 ELLENDALE PL                                               Report #: 1700012
Occurred: 12/31/16 - 7:00 pm    to 1/3/17    - 10:45 am                                   Disposition: Inactive Investigation
Incident: THEFT-MOTOR VEHICLE                      Attempt Theft From Motor Vehicle
Summary: A suspect entered an unsecured vehicle and ransacked the interior, but did not remove any property.","1/3/17  - 10:41 am","12/31/16 - 7:00 pm    to 1/3/17    - 10:45 am"
1700013,"1/3/17","CLOSED","Downey Way Structure","THEFT MOTOR VEHICLE","THEFT-MOTOR VEHICLE                      Theft from Motor Vehicle","A suspect removed a USC parking permit."," 1/3/17  - 11:51 am                   Location: DOWNEY WAY STRUCTURE                                            Report #: 1700013
Occurred: 12/20/16 - 10:30 am   to 1/3/17    - 10:00 am                                   Disposition: CLOSED
Incident: THEFT-MOTOR VEHICLE                      Theft from Motor Vehicle
Summary: A suspect removed a USC parking permit.","1/3/17  - 11:51 am","12/20/16 - 10:30 am   to 1/3/17    - 10:00 am"
NA,"1/3/17","CLOSED","Glorya Kaufman International Dance","PROPERTY","PROPERTY                                 Lost/Missing Property","A staff member reported a parking sign missing from the sidewalk outside the location."," 1/3/17  - 12:49 pm                   Location: GLORYA KAUFMAN INTERNATIONAL DANCE                              Report #: 1700014
                                                           CENTER
Occurred: 1/1/17   - 12:00 am   to 1/3/17    - 11:00 am                                   Disposition: CLOSED
Incident: PROPERTY                                 Lost/Missing Property
Summary: A staff member reported a parking sign missing from the sidewalk outside the location.
","1/3/17  - 12:49 pm","1/1/17   - 12:00 am   to 1/3/17    - 11:00 am"
1700015,"1/3/17","CLOSED","University Religious Center","PROPERTY","PROPERTY                                  Damaged Property","A non-USC female drove her vehicle into a gate in the parking lot at the location, causing minor damage."," 1/3/17   - 11:49 am                   Location: UNIVERSITY RELIGIOUS CENTER                                  Report #: 1700015
Occurred: 12/15/16 - 9:30 pm     to 12/15/16 - 9:30 pm                                   Disposition: CLOSED
Incident: PROPERTY                                  Damaged Property
Summary: A non-USC female drove her vehicle into a gate in the parking lot at the location, causing minor damage.
          cc: Risk Management","1/3/17   - 11:49 am","12/15/16 - 9:30 pm     to 12/15/16 - 9:30 pm"
1700016,"1/3/17","CLOSED","University Regent","FIRE","FIRE                                      Alarm Activation","A fire alarm was activated by water mist from pressure washers being used on the walls of the parking garage at the location."," 1/3/17   - 2:05 pm                    Location: UNIVERSITY REGENT                                            Report #: 1700016
Occurred: 1/3/17    - 2:05 pm    to 1/3/17    - 2:25 pm                                  Disposition: CLOSED
Incident: FIRE                                      Alarm Activation
Summary: A fire alarm was activated by water mist from pressure washers being used on the walls of the parking garage at the location.
          cc: Student Affairs, Safety, Housing","1/3/17   - 2:05 pm","1/3/17    - 2:05 pm    to 1/3/17    - 2:25 pm"
1700017,"1/3/17","CLOSED","Soto Street Building","SERVICE","SERVICE                                   Suspicious Circumstances","A staff member reported that a classmate from several years ago has been attempting to contact her by telephone and social"," 1/3/17   - 2:15 pm                    Location: SOTO STREET BUILDING                                         Report #: 1700017
Occurred: 11/1/16 - 12:00 am     to 12/22/16 - 9:55 am                                   Disposition: CLOSED
Incident: SERVICE                                   Suspicious Circumstances
Summary: A staff member reported that a classmate from several years ago has been attempting to contact her by telephone and social
          media and it has caused her to fear for her safety.
          cc: HR","1/3/17   - 2:15 pm","11/1/16 - 12:00 am     to 12/22/16 - 9:55 am"
1700018,"1/3/17","Cleared Arrest","General William Lyon University Center","WARRANT","WARRANT                                   Warrant Arrest","A bike theft suspect was arrested for an outstanding warrant."," 1/3/17   - 6:29 pm                    Location: GENERAL WILLIAM LYON UNIVERSITY CENTER                       Report #: 1700018
Occurred: 1/3/17    - 6:13 pm    to 1/3/17    - 6:40 pm                                  Disposition: Cleared Arrest
Incident: WARRANT                                   Warrant Arrest
Summary: A bike theft suspect was arrested for an outstanding warrant.","1/3/17   - 6:29 pm","1/3/17    - 6:13 pm    to 1/3/17    - 6:40 pm"
NA,"1/3/17","Cleared Arrest","Albert S. Raubenheimer Music Faculty","ASSAULT","ASSAULT                                   Assault-School Employee","A bike theft suspect was arrested for shoving a DPS officer."," 1/3/17   - 5:28 pm                    Location: ALBERT S. RAUBENHEIMER MUSIC FACULTY                         Report #: 1700019
                                                           MEMORIAL BUIL
Occurred: 1/3/17    - 5:28 pm    to 1/3/17    - 11:37 pm                                 Disposition: Cleared Arrest
Incident: ASSAULT                                   Assault-School Employee
Summary: A bike theft suspect was arrested for shoving a DPS officer.","1/3/17   - 5:28 pm","1/3/17    - 5:28 pm    to 1/3/17    - 11:37 pm"
1700020,"1/3/17","CLOSED","Popeyes","ASSAULT","ASSAULT                                   Assault-Other Dangerous Weapon","A non-USC female reported that she was bumped by a non-USC male's vehicle while she was standing outside the drive thru"," 1/3/17   - 11:47 pm                   Location: POPEYES                                                      Report #: 1700020
Occurred: 1/3/17    - 11:47 pm   to 1/4/17    - 12:10 am                                 Disposition: CLOSED
Incident: ASSAULT                                   Assault-Other Dangerous Weapon
Summary: A non-USC female reported that she was bumped by a non-USC male's vehicle while she was standing outside the drive thru
          window at the location. The female sustained an unspecified injury to her leg and stated that she will seek medical treatment on
          her own.","1/3/17   - 11:47 pm","1/3/17    - 11:47 pm   to 1/4/17    - 12:10 am"
1700021,"1/4/17","Cleared Arrest","1253 36Th Pl","VANDALISM","VANDALISM                                 Vandalism-Felony","A suspect was arrested for vandalizing a vehicle parked near the location."," 1/4/17   - 3:50 am                    Location: 1253 36TH PL                                                 Report #: 1700021
Occurred: 1/4/17    - 3:40 am    to 1/4/17    - 4:00 am                                  Disposition: Cleared Arrest
Incident: VANDALISM                                 Vandalism-Felony
Summary: A suspect was arrested for vandalizing a vehicle parked near the location.
","1/4/17   - 3:50 am","1/4/17    - 3:40 am    to 1/4/17    - 4:00 am"
1700022,"1/4/17","CLOSED","Keck Hospital Of Usc","SERVICE","SERVICE                                     Illness Response","A non-USC male was examined and released to proceed to his previously scheduled doctor's appointment after complaining of"," 1/4/17   - 12:05 pm                     Location: KECK HOSPITAL OF USC                                 Report #: 1700022
Occurred: 1/4/17   - 12:05 pm    to 1/4/17      - 12:49 pm                            Disposition: CLOSED
Incident: SERVICE                                     Illness Response
Summary: A non-USC male was examined and released to proceed to his previously scheduled doctor's appointment after complaining of
          weakness in his legs.","1/4/17   - 12:05 pm","1/4/17   - 12:05 pm    to 1/4/17      - 12:49 pm"
1700023,"1/4/17","Inactive Investigation","Trojan Plaza","THEFT PETTY","THEFT-PETTY                                 Theft Petty-Plain","A suspect removed a package from the front porch."," 1/4/17   - 2:39 pm                      Location: TROJAN PLAZA                                         Report #: 1700023
Occurred: 1/3/17   - 3:34 pm     to 1/3/17      - 7:50 pm                             Disposition: Inactive Investigation
Incident: THEFT-PETTY                                 Theft Petty-Plain
Summary: A suspect removed a package from the front porch.","1/4/17   - 2:39 pm","1/3/17   - 3:34 pm     to 1/3/17      - 7:50 pm"
1700024,"1/4/17","Void","The Lorenzo Apartments","ADMINISTRATIVE","ADMINISTRATIVE                              Report Voided","A non-USC female reported that her roommate, a student, has been taking her clothes without permission."," 1/4/17   - 8:29 am                      Location: THE LORENZO APARTMENTS                               Report #: 1700024
Occurred: 10/3/16 - 12:00 am     to 12/17/16 - 12:00 am                               Disposition: Void
Incident: ADMINISTRATIVE                              Report Voided
Summary: A non-USC female reported that her roommate, a student, has been taking her clothes without permission.
          cc: Student Affairs, Judicial Affairs","1/4/17   - 8:29 am","10/3/16 - 12:00 am     to 12/17/16 - 12:00 am"
1700025,"1/4/17","CLOSED","Outside Usc Area","IDENTITY THEFT","IDENTITY THEFT                              Identity Theft","A suspect used unknown means to make several unauthorized charges to a student's credit card account."," 1/4/17   - 8:42 pm                      Location: OUTSIDE USC AREA                                     Report #: 1700025
Occurred: 1/4/17   - 2:00 pm     to 1/4/17      - 6:00 pm                             Disposition: CLOSED
Incident: IDENTITY THEFT                              Identity Theft
Summary: A suspect used unknown means to make several unauthorized charges to a student's credit card account.","1/4/17   - 8:42 pm","1/4/17   - 2:00 pm     to 1/4/17      - 6:00 pm"
1700026,"1/5/17","CLOSED","Troy View Apts","PROPERTY","PROPERTY                                    Damaged Property","A student reported that the hood was damaged while her vehicle was parked at the location."," 1/5/17   - 7:41 am                      Location: TROY VIEW APTS                                       Report #: 1700026
Occurred: 1/4/17   - 6:15 pm     to 1/5/17      - 7:30 am                             Disposition: CLOSED
Incident: PROPERTY                                    Damaged Property
Summary: A student reported that the hood was damaged while her vehicle was parked at the location.","1/5/17   - 7:41 am","1/4/17   - 6:15 pm     to 1/5/17      - 7:30 am"
1700027,"1/5/17","Inactive Investigation","Webb Tower","THEFT PETTY","THEFT-PETTY                                 Theft Bicycle","A suspect removed a bicycle."," 1/5/17   - 9:55 am                      Location: WEBB TOWER                                           Report #: 1700027
Occurred: 1/4/17   - 5:00 pm     to 1/5/17      - 9:00 am                             Disposition: Inactive Investigation
Incident: THEFT-PETTY                                 Theft Bicycle
Summary: A suspect removed a bicycle.","1/5/17   - 9:55 am","1/4/17   - 5:00 pm     to 1/5/17      - 9:00 am"
1700028,"1/5/17","Inactive Investigation","The Music Complex","BURGLARY","BURGLARY                                    Burglary-Commercial","A suspect removed three computer adapters and miscellaneous coins."," 1/5/17   - 11:19 am                     Location: THE MUSIC COMPLEX                                    Report #: 1700028
Occurred: 12/19/16 - 5:00 pm     to 1/5/17      - 10:45 am                            Disposition: Inactive Investigation
Incident: BURGLARY                                    Burglary-Commercial
Summary: A suspect removed three computer adapters and miscellaneous coins.
","1/5/17   - 11:19 am","12/19/16 - 5:00 pm     to 1/5/17      - 10:45 am"
NA,"1/5/17","CLOSED","Our Savior Parish & Usc Caruso","SERVICE","SERVICE                                    Suspicious Circumstances","A student reported that a patient he met at the Dental School followed him to the location and was waiting outside after he"," 1/5/17   - 6:04 pm                     Location: OUR SAVIOR PARISH & USC CARUSO                               Report #: 1700029
                                                             CATHOLIC CENTER
Occurred: 1/5/17   - 6:04 pm     to 1/5/17     - 7:30 pm                                  Disposition: CLOSED
Incident: SERVICE                                    Suspicious Circumstances
Summary: A student reported that a patient he met at the Dental School followed him to the location and was waiting outside after he
          attended mass. Fearing for his safety, the student contacted the DPS office, but the patient left the area before officers arrived.
          cc: Student Affairs, HR","1/5/17   - 6:04 pm","1/5/17   - 6:04 pm     to 1/5/17     - 7:30 pm"
1700030,"1/5/17","Inactive Investigation","Downey Way Structure","THEFT PETTY","THEFT-PETTY                                Theft Petty-Plain","A suspect removed the handlebars from a bicycle."," 1/5/17   - 9:02 pm                     Location: DOWNEY WAY STRUCTURE                                         Report #: 1700030
Occurred: 1/5/17   - 5:30 pm     to 1/5/17     - 8:00 pm                                  Disposition: Inactive Investigation
Incident: THEFT-PETTY                                Theft Petty-Plain
Summary: A suspect removed the handlebars from a bicycle.","1/5/17   - 9:02 pm","1/5/17   - 5:30 pm     to 1/5/17     - 8:00 pm"
1700031,"1/6/17","CLOSED","37Th St & Hope St","PROPERTY","PROPERTY                                   Recovered/Impounded Bicycle","A bicycle was recovered from a theft suspect."," 1/6/17   - 1:25 am                     Location: 37TH ST & HOPE ST                                            Report #: 1700031
Occurred: 1/6/17   - 1:25 am     to 1/6/17     - 2:16 am                                  Disposition: CLOSED
Incident: PROPERTY                                   Recovered/Impounded Bicycle
Summary: A bicycle was recovered from a theft suspect.","1/6/17   - 1:25 am","1/6/17   - 1:25 am     to 1/6/17     - 2:16 am"
NA,"1/6/17","CLOSED","Kenneth Norris Jr. Cancer Hospital","PROPERTY","PROPERTY                                   Lost/Missing Property","A staff member reported a department cellular phone missing."," 1/6/17   - 7:12 am                     Location: KENNETH NORRIS JR. CANCER HOSPITAL                           Report #: 1700032
                                                             RESEARCH INSTIT
Occurred: 11/1/16 - 12:01 am     to 1/6/17     - 7:12 am                                  Disposition: CLOSED
Incident: PROPERTY                                   Lost/Missing Property
Summary: A staff member reported a department cellular phone missing.","1/6/17   - 7:12 am","11/1/16 - 12:01 am     to 1/6/17     - 7:12 am"
1700033,"1/5/17","Inactive Investigation","Tuscany Apartments","BURGLARY","BURGLARY                                   Burglary-Residential","A suspect climbed onto a balcony and opened an unsecured sliding glass door to gain entry to an apartment. The suspect"," 1/5/17   - 3:55 pm                     Location: TUSCANY APARTMENTS                                           Report #: 1700033
Occurred: 12/16/16 - 11:00 am    to 1/16/17 - 11:30 am                                    Disposition: Inactive Investigation
Incident: BURGLARY                                   Burglary-Residential
Summary: A suspect climbed onto a balcony and opened an unsecured sliding glass door to gain entry to an apartment. The suspect
          ransacked the interior, but it could not be determined if any property had been removed at the time of the report.","1/5/17   - 3:55 pm","12/16/16 - 11:00 am    to 1/16/17 - 11:30 am"
1700034,"1/6/17","CLOSED","The Lorenzo Apartments","IDENTITY THEFT","IDENTITY THEFT                             Identity Theft","A suspect used unknown means to make multiple unauthorized purchases on a student's credit card account."," 1/6/17   - 12:03 pm                    Location: THE LORENZO APARTMENTS                                       Report #: 1700034
Occurred: 1/4/17   - 12:00 pm    to 1/4/17     - 12:00 pm                                 Disposition: CLOSED
Incident: IDENTITY THEFT                             Identity Theft
Summary: A suspect used unknown means to make multiple unauthorized purchases on a student's credit card account.","1/6/17   - 12:03 pm","1/4/17   - 12:00 pm    to 1/4/17     - 12:00 pm"
1700035,"1/6/17","Inactive Investigation","1180 29Th St","THEFT PETTY","THEFT-PETTY                                Theft Petty-Plain","A suspect removed the seat from a bicycle."," 1/6/17   - 12:18 pm                    Location: 1180 29TH ST                                                 Report #: 1700035
Occurred: 1/6/17   - 12:18 pm    to 1/6/17     - 12:20 pm                                 Disposition: Inactive Investigation
Incident: THEFT-PETTY                                Theft Petty-Plain
Summary: A suspect removed the seat from a bicycle.
","1/6/17   - 12:18 pm","1/6/17   - 12:18 pm    to 1/6/17     - 12:20 pm"
1700036,"1/6/17","CLOSED","Healthcare Center 2","SERVICE","SERVICE                                   Illness Response","A non-USC male was examined and released at the scene after fainting."," 1/6/17   - 3:27 pm                    Location: HEALTHCARE CENTER 2                                            Report #: 1700036
Occurred: 1/6/17    - 3:27 pm    to 1/6/17    - 4:14 pm                                   Disposition: CLOSED
Incident: SERVICE                                   Illness Response
Summary: A non-USC male was examined and released at the scene after fainting.","1/6/17   - 3:27 pm","1/6/17    - 3:27 pm    to 1/6/17    - 4:14 pm"
1700037,"1/6/17","Inactive Investigation","David X. Marks Tower","THEFT PETTY","THEFT-PETTY                               Theft Bicycle","A suspect removed a bicycle."," 1/6/17   - 4:29 pm                    Location: DAVID X. MARKS TOWER                                           Report #: 1700037
Occurred: 12/15/16 - 12:00 pm    to 1/6/17    - 4:00 pm                                   Disposition: Inactive Investigation
Incident: THEFT-PETTY                               Theft Bicycle
Summary: A suspect removed a bicycle.","1/6/17   - 4:29 pm","12/15/16 - 12:00 pm    to 1/6/17    - 4:00 pm"
1700038,"1/6/17","Inactive Investigation","Brittingham Intramural Field","THEFT GRAND","THEFT-GRAND                               Theft Grand-Plain","A suspect removed a tote bag."," 1/6/17   - 5:15 pm                    Location: BRITTINGHAM INTRAMURAL FIELD                                   Report #: 1700038
Occurred: 1/6/17    - 3:30 pm    to 1/6/17    - 5:00 pm                                   Disposition: Inactive Investigation
Incident: THEFT-GRAND                               Theft Grand-Plain
Summary: A suspect removed a tote bag.","1/6/17   - 5:15 pm","1/6/17    - 3:30 pm    to 1/6/17    - 5:00 pm"
1700039,"1/6/17","CLOSED","Parkside Residential Building","SERVICE","SERVICE                                   Illness Response","A student was transported to a local hospital for medical treatment after suffering an allergic reaction to food she had eaten."," 1/6/17   - 8:04 pm                    Location: PARKSIDE RESIDENTIAL BUILDING                                  Report #: 1700039
Occurred: 1/6/17    - 8:04 pm    to 1/6/17    - 9:10 pm                                   Disposition: CLOSED
Incident: SERVICE                                   Illness Response
Summary: A student was transported to a local hospital for medical treatment after suffering an allergic reaction to food she had eaten.
          cc: Student Affairs","1/6/17   - 8:04 pm","1/6/17    - 8:04 pm    to 1/6/17    - 9:10 pm"
1700040,"1/6/17","CLOSED","725 32Nd St","FIRE","FIRE                                      Alarm Smoke","A fire alarm was activated by smoke from burnt food."," 1/6/17   - 9:45 pm                    Location: 725 32ND ST                                                    Report #: 1700040
Occurred: 1/6/17    - 9:45 pm    to 1/6/17    - 10:36 pm                                  Disposition: CLOSED
Incident: FIRE                                      Alarm Smoke
Summary: A fire alarm was activated by smoke from burnt food.
          cc: Student Affairs, Safety, Housing","1/6/17   - 9:45 pm","1/6/17    - 9:45 pm    to 1/6/17    - 10:36 pm"
1700041,"1/6/17","CLOSED","1333 35Th St","FRAUD","FRAUD                                     Fraud-General","A suspect used unknown means to make four unauthorized purchases on a student's credit card account."," 1/6/17   - 10:40 pm                   Location: 1333 35TH ST                                                   Report #: 1700041
Occurred: 1/6/17    - 3:53 pm    to 1/6/17    - 10:08 pm                                  Disposition: CLOSED
Incident: FRAUD                                     Fraud-General
Summary: A suspect used unknown means to make four unauthorized purchases on a student's credit card account.","1/6/17   - 10:40 pm","1/6/17    - 3:53 pm    to 1/6/17    - 10:08 pm"
1700042,"1/7/17","Void","Los Angeles Memorial Coliseum","ADMINISTRATIVE","ADMINISTRATIVE                            Report Voided",NA," 1/7/17   - 12:28 am                   Location: LOS ANGELES MEMORIAL COLISEUM                                  Report #: 1700042
Occurred: 12/24/16 - 4:15 pm     to 12/24/16 - 4:15 pm                                    Disposition: Void
Incident: ADMINISTRATIVE                            Report Voided
Summary:
","1/7/17   - 12:28 am","12/24/16 - 4:15 pm     to 12/24/16 - 4:15 pm"
1700043,"1/7/17","Open","Chez Ronnee","BURGLARY","BURGLARY                                Burglary-Residential","A suspect removed a video game console, ten video games, an external hard drive and a pair of sunglasses."," 1/7/17   - 2:23 pm                  Location: CHEZ RONNEE                                                  Report #: 1700043
Occurred: 12/15/16 - 6:00 am  to 1/7/17     - 12:30 pm                                    Disposition: Open
Incident: BURGLARY                                Burglary-Residential
Summary: A suspect removed a video game console, ten video games, an external hard drive and a pair of sunglasses.","1/7/17   - 2:23 pm","12/15/16 - 6:00 am  to 1/7/17     - 12:30 pm"
1700044,"1/7/17","Open","Dean Bartlett Cromwell Field","THEFT PETTY","THEFT-PETTY                             Theft Petty-Plain","A suspect removed a cellular phone."," 1/7/17   - 2:57 pm                  Location: DEAN BARTLETT CROMWELL FIELD                                 Report #: 1700044
Occurred: 1/7/17   - 2:20 pm  to 1/7/17     - 3:25 pm                                     Disposition: Open
Incident: THEFT-PETTY                             Theft Petty-Plain
Summary: A suspect removed a cellular phone.","1/7/17   - 2:57 pm","1/7/17   - 2:20 pm  to 1/7/17     - 3:25 pm"
1700045,"1/7/17","Inactive Investigation","920 28Th St","THEFT PETTY","THEFT-PETTY                             Theft Petty-Plain","A suspect removed a video game console and remote, and a streaming console."," 1/7/17   - 7:07 pm                  Location: 920 28TH ST                                                  Report #: 1700045
Occurred: 12/14/16 - 3:00 pm  to 1/7/17     - 6:00 pm                                     Disposition: Inactive Investigation
Incident: THEFT-PETTY                             Theft Petty-Plain
Summary: A suspect removed a video game console and remote, and a streaming console.","1/7/17   - 7:07 pm","12/14/16 - 3:00 pm  to 1/7/17     - 6:00 pm"
1700046,"1/7/17","Inactive Investigation","Mccarthy Way Structure","BURGLARY MOTOR VEHICLE","BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle","A suspect removed a laptop computer and a wireless speaker."," 1/7/17   - 7:49 pm                  Location: MCCARTHY WAY STRUCTURE                                       Report #: 1700046
Occurred: 1/7/17   - 12:30 pm to 1/7/17     - 7:30 pm                                     Disposition: Inactive Investigation
Incident: BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle
Summary: A suspect removed a laptop computer and a wireless speaker.","1/7/17   - 7:49 pm","1/7/17   - 12:30 pm to 1/7/17     - 7:30 pm"
1700047,"1/7/17","CLOSED","Carol Little Building","VANDALISM","VANDALISM                               Vandalism-Misdemeanor","A suspect used a marking pen to write graffiti on the rear door of a University vehicle."," 1/7/17   - 9:40 pm                  Location: CAROL LITTLE BUILDING                                        Report #: 1700047
Occurred: 1/7/17   - 7:10 pm  to 1/7/17     - 9:35 pm                                     Disposition: CLOSED
Incident: VANDALISM                               Vandalism-Misdemeanor
Summary: A suspect used a marking pen to write graffiti on the rear door of a University vehicle.
          cc: Risk Management","1/7/17   - 9:40 pm","1/7/17   - 7:10 pm  to 1/7/17     - 9:35 pm"
